ZipCode,EstimatedCombinedRate,TaxRegionName
01370,0.0625,"ASHFIELD, MA"
01373,0.0625,"DEERFIELD, MA"
01375,0.0625,"SUNDERLAND, MA"
01376,0.0625,"MONTAGUE, MA"
01378,0.0625,"WARWICK, MA"
01379,0.0625,"WENDELL, MA"
01380,0.0625,"WENDELL, MA"
01420,0.0625,"FITCHBURG, MA"
01430,0.0625,"ASHBURNHAM, MA"
01431,0.0625,"ASHBY, MA"
01432,0.0625,"DEVENS, MA"
01434,0.0625,"DEVENS, MA"
01436,0.0625,"WINCHENDON, MA"
01438,0.0625,"TEMPLETON, MA"
01440,0.0625,"ASHBURNHAM, MA"
01441,0.0625,"WESTMINSTER, MA"
01450,0.0625,"GROTON, MA"
01451,0.0625,"HARVARD, MA"
01452,0.0625,"HUBBARDSTON, MA"
01453,0.0625,"LANCASTER, MA"
01460,0.0625,"LITTLETON, MA"
01462,0.0625,"SHIRLEY, MA"
01463,0.0625,"GROTON, MA"
01464,0.0625,"DEVENS, MA"
01467,0.0625,"HARVARD, MA"
01468,0.0625,"TEMPLETON, MA"
01469,0.0625,"PEPPERELL, MA"
01472,0.0625,"GROTON, MA"
01473,0.0625,"WORCESTER, MA"
01474,0.0625,"TOWNSEND, MA"
01475,0.0625,"WINCHENDON, MA"
01501,0.0625,"WORCESTER, MA"
01503,0.0625,"BERLIN, MA"
01504,0.0625,"BLACKSTONE, MA"
01505,0.0625,"BOYLSTON, MA"
01506,0.0625,"BROOKFIELD, MA"
01507,0.0625,"CHARLTON, MA"
01508,0.0625,"CHARLTON, MA"
01509,0.0625,"CHARLTON, MA"
01510,0.0625,"CLINTON, MA"
01515,0.0625,"EAST BROOKFIELD, MA"
01516,0.0625,"DOUGLAS, MA"
01518,0.0625,"STURBRIDGE, MA"
01519,0.0625,"GRAFTON, MA"
01520,0.0625,"WORCESTER, MA"
01521,0.0625,"HOLLAND, MA"
01522,0.0625,"HOLDEN, MA"
01523,0.0625,"CLINTON, MA"
01524,0.0625,"LEICESTER, MA"
01525,0.0625,"NORTHBRIDGE, MA"
01526,0.0625,"SUTTON, MA"
01527,0.0625,"GRAFTON, MA"
01529,0.0625,"BLACKSTONE, MA"
01531,0.0625,"NEW BRAINTREE, MA"
01532,0.0625,"BERLIN, MA"
01534,0.0625,"MENDON, MA"
01535,0.0625,"BROOKFIELD, MA"
01536,0.0625,"GRAFTON, MA"
01537,0.0625,"OXFORD, MA"
01538,0.0625,"UXBRIDGE, MA"
01540,0.0625,"WORCESTER, MA"
01541,0.0625,"HUBBARDSTON, MA"
01542,0.0625,"AUBURN, MA"
01543,0.0625,"OAKHAM, MA"
01545,0.0625,"WORCESTER, MA"
01546,0.0625,"SHREWSBURY, MA"
01550,0.0625,"CHARLTON, MA"
01560,0.0625,"GRAFTON, MA"
01561,0.0625,"LANCASTER, MA"
01562,0.0625,"CHARLTON, MA"
01564,0.0625,"LANCASTER, MA"
01566,0.0625,"SOUTHBRIDGE, MA"
01568,0.0625,"UPTON, MA"
01569,0.0625,"DOUGLAS, MA"
